Origin,Timestamp,Horizon,Holt_Winters
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1426.0120559167347
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1353.0291042924034
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1243.749185066914
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1149.8704944193576
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1081.226661112742
2012-07-13 00:00:00,2012-07-13 02:30:00,6,1037.7519520608812
2012-07-13 00:00:00,2012-07-13 03:00:00,7,1010.2616035372483
2012-07-13 00:00:00,2012-07-13 03:30:00,8,998.5310438893977
2012-07-13 00:00:00,2012-07-13 04:00:00,9,994.3071033409506
2012-07-13 00:00:00,2012-07-13 04:30:00,10,1002.948753314645
2012-07-13 00:00:00,2012-07-13 05:00:00,11,1023.152874175254
2012-07-13 00:00:00,2012-07-13 05:30:00,12,1072.6782302947165
2012-07-13 00:00:00,2012-07-13 06:00:00,13,1131.042673883398
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1226.3474594800525
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1310.7834635848765
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1354.7203752373957
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1411.085028657029
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1448.8896718856406
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1462.7167031298939
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1468.2811829908005
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1460.9015306223919
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1450.7221145181572
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1438.7565301224743
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1430.1157696209664
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1415.549676041036
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1402.8079884913961
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1393.9261039610137
2012-07-13 00:00:00,2012-07-13 13:30:00,28,1396.7764272464156
2012-07-13 00:00:00,2012-07-13 14:00:00,29,1385.1384964093545
2012-07-13 00:00:00,2012-07-13 14:30:00,30,1384.4190388234326
2012-07-13 00:00:00,2012-07-13 15:00:00,31,1392.767372511995
2012-07-13 00:00:00,2012-07-13 15:30:00,32,1413.2836035623395
2012-07-13 00:00:00,2012-07-13 16:00:00,33,1446.0232031742844
2012-07-13 00:00:00,2012-07-13 16:30:00,34,1481.7016353109727
2012-07-13 00:00:00,2012-07-13 17:00:00,35,1529.1221435900752
2012-07-13 00:00:00,2012-07-13 17:30:00,36,1585.6133275140096
2012-07-13 00:00:00,2012-07-13 18:00:00,37,1647.6655459500219
2012-07-13 00:00:00,2012-07-13 18:30:00,38,1683.5984634095344
2012-07-13 00:00:00,2012-07-13 19:00:00,39,1691.8993320818704
2012-07-13 00:00:00,2012-07-13 19:30:00,40,1685.431654653345
2012-07-13 00:00:00,2012-07-13 20:00:00,41,1676.4501059400468
2012-07-13 00:00:00,2012-07-13 20:30:00,42,1653.5843834094226
2012-07-13 00:00:00,2012-07-13 21:00:00,43,1615.6521224590097
2012-07-13 00:00:00,2012-07-13 21:30:00,44,1565.7577024909026
2012-07-13 00:00:00,2012-07-13 22:00:00,45,1507.314599341511
2012-07-13 00:00:00,2012-07-13 22:30:00,46,1458.2206569563118
2012-07-13 00:00:00,2012-07-13 23:00:00,47,1399.8861132099973
2012-07-13 00:00:00,2012-07-13 23:30:00,48,1566.2014315014849
2012-07-14 00:00:00,2012-07-14 00:00:00,1,1488.6799039504847
2012-07-14 00:00:00,2012-07-14 00:30:00,2,1403.1633827194032
2012-07-14 00:00:00,2012-07-14 01:00:00,3,1283.8566078085137
2012-07-14 00:00:00,2012-07-14 01:30:00,4,1181.9564326126374
2012-07-14 00:00:00,2012-07-14 02:00:00,5,1106.8954116673658
2012-07-14 00:00:00,2012-07-14 02:30:00,6,1058.2869525045803
2012-07-14 00:00:00,2012-07-14 03:00:00,7,1026.6896038922077
2012-07-14 00:00:00,2012-07-14 03:30:00,8,1011.673444173365
2012-07-14 00:00:00,2012-07-14 04:00:00,9,1004.8210235681245
2012-07-14 00:00:00,2012-07-14 04:30:00,10,1011.3598894963843
2012-07-14 00:00:00,2012-07-14 05:00:00,11,1029.8817831206452
2012-07-14 00:00:00,2012-07-14 05:30:00,12,1078.0613574510296
2012-07-14 00:00:00,2012-07-14 06:00:00,13,1135.3491756084486
2012-07-14 00:00:00,2012-07-14 06:30:00,14,1229.7926608600928
2012-07-14 00:00:00,2012-07-14 07:00:00,15,1313.5396246889086
2012-07-14 00:00:00,2012-07-14 07:30:00,16,1356.9253041206214
2012-07-14 00:00:00,2012-07-14 08:00:00,17,1412.8489717636096
2012-07-14 00:00:00,2012-07-14 08:30:00,18,1450.300826370905
2012-07-14 00:00:00,2012-07-14 09:00:00,19,1463.8456267181054
2012-07-14 00:00:00,2012-07-14 09:30:00,20,1469.1843218613697
2012-07-14 00:00:00,2012-07-14 10:00:00,21,1461.6240417188471
2012-07-14 00:00:00,2012-07-14 10:30:00,22,1451.3001233953216
2012-07-14 00:00:00,2012-07-14 11:00:00,23,1439.2189372242058
2012-07-14 00:00:00,2012-07-14 11:30:00,24,1430.4856953023516
2012-07-14 00:00:00,2012-07-14 12:00:00,25,1415.8456165861442
2012-07-14 00:00:00,2012-07-14 12:30:00,26,1403.0447409274825
2012-07-14 00:00:00,2012-07-14 13:00:00,27,1394.1155059098828
2012-07-14 00:00:00,2012-07-14 13:30:00,28,1396.9279488055108
2012-07-14 00:00:00,2012-07-14 14:00:00,29,1385.2597136566308
2012-07-14 00:00:00,2012-07-14 14:30:00,30,1384.5160126212536
2012-07-14 00:00:00,2012-07-14 15:00:00,31,1392.8449515502518
2012-07-14 00:00:00,2012-07-14 15:30:00,32,1413.345666792945
2012-07-14 00:00:00,2012-07-14 16:00:00,33,1446.0728537587688
2012-07-14 00:00:00,2012-07-14 16:30:00,34,1481.7413557785603
2012-07-14 00:00:00,2012-07-14 17:00:00,35,1529.1539199641452
2012-07-14 00:00:00,2012-07-14 17:30:00,36,1585.6387486132655
2012-07-14 00:00:00,2012-07-14 18:00:00,37,1647.6858828294266
2012-07-14 00:00:00,2012-07-14 18:30:00,38,1683.6147329130583
2012-07-14 00:00:00,2012-07-14 19:00:00,39,1691.9123476846896
2012-07-14 00:00:00,2012-07-14 19:30:00,40,1685.4420671356004
2012-07-14 00:00:00,2012-07-14 20:00:00,41,1676.458435925851
2012-07-14 00:00:00,2012-07-14 20:30:00,42,1653.591047398066
2012-07-14 00:00:00,2012-07-14 21:00:00,43,1615.6574536499243
2012-07-14 00:00:00,2012-07-14 21:30:00,44,1565.7619674436344
2012-07-14 00:00:00,2012-07-14 22:00:00,45,1507.3180113036965
2012-07-14 00:00:00,2012-07-14 22:30:00,46,1458.22338652606
2012-07-14 00:00:00,2012-07-14 23:00:00,47,1399.8882968657958
2012-07-14 00:00:00,2012-07-14 23:30:00,48,1566.203178426124
2012-07-15 00:00:00,2012-07-15 00:00:00,1,1488.6813014901957
2012-07-15 00:00:00,2012-07-15 00:30:00,2,1403.1645007511722
2012-07-15 00:00:00,2012-07-15 01:00:00,3,1283.857502233929
2012-07-15 00:00:00,2012-07-15 01:30:00,4,1181.9571481529695
2012-07-15 00:00:00,2012-07-15 02:00:00,5,1106.8959840996315
2012-07-15 00:00:00,2012-07-15 02:30:00,6,1058.2874104503926
2012-07-15 00:00:00,2012-07-15 03:00:00,7,1026.6899702488577
2012-07-15 00:00:00,2012-07-15 03:30:00,8,1011.673737258685
2012-07-15 00:00:00,2012-07-15 04:00:00,9,1004.8212580363804
2012-07-15 00:00:00,2012-07-15 04:30:00,10,1011.3600770709891
2012-07-15 00:00:00,2012-07-15 05:00:00,11,1029.881933180329
2012-07-15 00:00:00,2012-07-15 05:30:00,12,1078.0614774987766
2012-07-15 00:00:00,2012-07-15 06:00:00,13,1135.3492716466462
2012-07-15 00:00:00,2012-07-15 06:30:00,14,1229.792737690651
2012-07-15 00:00:00,2012-07-15 07:00:00,15,1313.5396861533552
