Origin,Timestamp,Horizon,ARIMA
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1576.783732793513
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1645.3074042067972
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1691.8056517322377
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1724.3117063454492
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1746.875544251605
2012-07-13 00:00:00,2012-07-13 02:30:00,6,1762.5674527418503
2012-07-13 00:00:00,2012-07-13 03:00:00,7,1773.4781021172007
2012-07-13 00:00:00,2012-07-13 03:30:00,8,1781.067398920327
2012-07-13 00:00:00,2012-07-13 04:00:00,9,1786.3486001478552
2012-07-13 00:00:00,2012-07-13 04:30:00,10,1790.025992392637
2012-07-13 00:00:00,2012-07-13 05:00:00,11,1792.5889333135685
2012-07-13 00:00:00,2012-07-13 05:30:00,12,1794.3774708257097
2012-07-13 00:00:00,2012-07-13 06:00:00,13,1795.6278947438789
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1796.5043970759834
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1797.1210706945144
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1797.5571958726475
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1797.8678624783952
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1798.091351076213
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1798.2542618679545
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1798.375078665168
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1798.4666454038188
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1798.5378870121144
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1798.595005198296
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1798.6423093735104
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1798.682794039226
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1798.7185399992322
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1798.7509931517711
2012-07-13 00:00:00,2012-07-13 13:30:00,28,1798.7811582151812
2012-07-13 00:00:00,2012-07-13 14:00:00,29,1798.8097333429778
2012-07-13 00:00:00,2012-07-13 14:30:00,30,1798.8372036644873
2012-07-13 00:00:00,2012-07-13 15:00:00,31,1798.8639062838827
2012-07-13 00:00:00,2012-07-13 15:30:00,32,1798.8900754463787
2012-07-13 00:00:00,2012-07-13 16:00:00,33,1798.915873923086
2012-07-13 00:00:00,2012-07-13 16:30:00,34,1798.9414148195585
2012-07-13 00:00:00,2012-07-13 17:00:00,35,1798.9667767300007
2012-07-13 00:00:00,2012-07-13 17:30:00,36,1798.9920142675503
2012-07-13 00:00:00,2012-07-13 18:00:00,37,1799.0171653815034
2012-07-13 00:00:00,2012-07-13 18:30:00,38,1799.0422564418723
2012-07-13 00:00:00,2012-07-13 19:00:00,39,1799.0673057725148
2012-07-13 00:00:00,2012-07-13 19:30:00,40,1799.09232610622
2012-07-13 00:00:00,2012-07-13 20:00:00,41,1799.117326290682
2012-07-13 00:00:00,2012-07-13 20:30:00,42,1799.1423124739417
2012-07-13 00:00:00,2012-07-13 21:00:00,43,1799.1672889281178
2012-07-13 00:00:00,2012-07-13 21:30:00,44,1799.1922586217984
2012-07-13 00:00:00,2012-07-13 22:00:00,45,1799.2172236177805
2012-07-13 00:00:00,2012-07-13 22:30:00,46,1799.2421853494502
2012-07-13 00:00:00,2012-07-13 23:00:00,47,1799.2671448128315
2012-07-13 00:00:00,2012-07-13 23:30:00,48,1799.2921027000357
2012-07-14 00:00:00,2012-07-14 00:00:00,1,1555.9285194461706
2012-07-14 00:00:00,2012-07-14 00:30:00,2,1631.7157590891989
2012-07-14 00:00:00,2012-07-14 01:00:00,3,1683.173929627262
2012-07-14 00:00:00,2012-07-14 01:30:00,4,1719.1411084226254
2012-07-14 00:00:00,2012-07-14 02:00:00,5,1744.1075547001053
2012-07-14 00:00:00,2012-07-14 02:30:00,6,1761.4693831095765
