Origin,Timestamp,Horizon,LSTM
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1390.116790343484
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1326.4660939866849
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1305.5664169877634
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1177.6825056486548
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1083.8226559659722
2012-07-13 00:00:00,2012-07-13 02:30:00,6,1032.5263661957867
2012-07-13 00:00:00,2012-07-13 03:00:00,7,975.7954623663095
2012-07-13 00:00:00,2012-07-13 03:30:00,8,974.5824023763007
2012-07-13 00:00:00,2012-07-13 04:00:00,9,964.8245233405928
2012-07-13 00:00:00,2012-07-13 04:30:00,10,991.2098054847031
2012-07-13 00:00:00,2012-07-13 05:00:00,11,959.6845827488723
2012-07-13 00:00:00,2012-07-13 05:30:00,12,1003.7962367429936
2012-07-13 00:00:00,2012-07-13 06:00:00,13,1046.647870831955
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1189.601830400181
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1230.2066637911837
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1345.5853565093544
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1397.6769987136747
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1450.4400476366868
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1442.8149580958473
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1474.9988914748244
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1500.6623961654977
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1482.2339913718292
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1496.831231966599
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1455.3265292015194
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1504.2521792853827
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1492.124283137985
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1524.489483568229
2012-07-13 00:00:00,2012-07-13 13:30:00,28,1517.421251460629
2012-07-13 00:00:00,2012-07-13 14:00:00,29,1498.7191806462806
2012-07-13 00:00:00,2012-07-13 14:30:00,30,1458.5283060224708
2012-07-13 00:00:00,2012-07-13 15:00:00,31,1503.2223163280019
2012-07-13 00:00:00,2012-07-13 15:30:00,32,1505.2937644337044
2012-07-13 00:00:00,2012-07-13 16:00:00,33,1482.8362700714847
2012-07-13 00:00:00,2012-07-13 16:30:00,34,1506.3925375089996
2012-07-13 00:00:00,2012-07-13 17:00:00,35,1497.4243143495376
2012-07-13 00:00:00,2012-07-13 17:30:00,36,1567.6220411193026
2012-07-13 00:00:00,2012-07-13 18:00:00,37,1636.3581761056928
2012-07-13 00:00:00,2012-07-13 18:30:00,38,1690.9170593445194
2012-07-13 00:00:00,2012-07-13 19:00:00,39,1662.0277464520732
2012-07-13 00:00:00,2012-07-13 19:30:00,40,1638.6026465957407
2012-07-13 00:00:00,2012-07-13 20:00:00,41,1619.714763935307
2012-07-13 00:00:00,2012-07-13 20:30:00,42,1558.9964830376682
2012-07-13 00:00:00,2012-07-13 21:00:00,43,1529.3968302771796
2012-07-13 00:00:00,2012-07-13 21:30:00,44,1500.6684262455115
2012-07-13 00:00:00,2012-07-13 22:00:00,45,1412.11663009322
2012-07-13 00:00:00,2012-07-13 22:30:00,46,1374.7833507986072
2012-07-13 00:00:00,2012-07-13 23:00:00,47,1287.9541430565955
2012-07-13 00:00:00,2012-07-13 23:30:00,48,1444.1379291902942
2012-07-14 00:00:00,2012-07-14 00:00:00,1,1397.8772098216216
2012-07-14 00:00:00,2012-07-14 00:30:00,2,1335.726624830114
2012-07-14 00:00:00,2012-07-14 01:00:00,3,1311.4733950969764
2012-07-14 00:00:00,2012-07-14 01:30:00,4,1176.7674454535404
2012-07-14 00:00:00,2012-07-14 02:00:00,5,1089.08917487444
2012-07-14 00:00:00,2012-07-14 02:30:00,6,1032.9292253466713
2012-07-14 00:00:00,2012-07-14 03:00:00,7,984.3611643439733
2012-07-14 00:00:00,2012-07-14 03:30:00,8,971.3600983803174
2012-07-14 00:00:00,2012-07-14 04:00:00,9,961.0410483585576
2012-07-14 00:00:00,2012-07-14 04:30:00,10,990.4210567886364
2012-07-14 00:00:00,2012-07-14 05:00:00,11,949.6407107147576
2012-07-14 00:00:00,2012-07-14 05:30:00,12,1002.8454407639633
2012-07-14 00:00:00,2012-07-14 06:00:00,13,1047.8734890416974
2012-07-14 00:00:00,2012-07-14 06:30:00,14,1192.661028736325
2012-07-14 00:00:00,2012-07-14 07:00:00,15,1243.5899105339956
2012-07-14 00:00:00,2012-07-14 07:30:00,16,1350.4953046908774
2012-07-14 00:00:00,2012-07-14 08:00:00,17,1411.0823379620238
2012-07-14 00:00:00,2012-07-14 08:30:00,18,1474.4370979141397
2012-07-14 00:00:00,2012-07-14 09:00:00,19,1460.2914907457632
2012-07-14 00:00:00,2012-07-14 09:30:00,20,1504.110605813911
2012-07-14 00:00:00,2012-07-14 10:00:00,21,1538.7496088933253
2012-07-14 00:00:00,2012-07-14 10:30:00,22,1506.4407425734157
2012-07-14 00:00:00,2012-07-14 11:00:00,23,1514.57654787329
2012-07-14 00:00:00,2012-07-14 11:30:00,24,1483.0906184907049
2012-07-14 00:00:00,2012-07-14 12:00:00,25,1525.3824690456531
2012-07-14 00:00:00,2012-07-14 12:30:00,26,1508.4726127203267
2012-07-14 00:00:00,2012-07-14 13:00:00,27,1549.1406641183164
2012-07-14 00:00:00,2012-07-14 13:30:00,28,1546.3241186922212
2012-07-14 00:00:00,2012-07-14 14:00:00,29,1518.1646411477434
2012-07-14 00:00:00,2012-07-14 14:30:00,30,1491.9796679447365
2012-07-14 00:00:00,2012-07-14 15:00:00,31,1519.4675653390182
2012-07-14 00:00:00,2012-07-14 15:30:00,32,1533.7159684731735
2012-07-14 00:00:00,2012-07-14 16:00:00,33,1508.80001582573
2012-07-14 00:00:00,2012-07-14 16:30:00,34,1530.4606324459648
2012-07-14 00:00:00,2012-07-14 17:00:00,35,1524.009976586138
2012-07-14 00:00:00,2012-07-14 17:30:00,36,1587.1512823784776
2012-07-14 00:00:00,2012-07-14 18:00:00,37,1681.9597045593594
2012-07-14 00:00:00,2012-07-14 18:30:00,38,1734.631475147297
2012-07-14 00:00:00,2012-07-14 19:00:00,39,1709.67430805917
2012-07-14 00:00:00,2012-07-14 19:30:00,40,1675.5388255548212
2012-07-14 00:00:00,2012-07-14 20:00:00,41,1661.0189620929702
2012-07-14 00:00:00,2012-07-14 20:30:00,42,1585.774271805914
