Origin,Timestamp,Horizon,SARIMA
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1425.9693972528733
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1348.1491748398516
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1236.7455926075236
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1128.2047167893293
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1044.2879920262362
2012-07-13 00:00:00,2012-07-13 02:30:00,6,975.5945833871534
2012-07-13 00:00:00,2012-07-13 03:00:00,7,923.4060483890828
2012-07-13 00:00:00,2012-07-13 03:30:00,8,889.1432830170111
2012-07-13 00:00:00,2012-07-13 04:00:00,9,874.7553857435487
2012-07-13 00:00:00,2012-07-13 04:30:00,10,874.2516635483157
2012-07-13 00:00:00,2012-07-13 05:00:00,11,886.4827899370795
2012-07-13 00:00:00,2012-07-13 05:30:00,12,922.7051209606474
2012-07-13 00:00:00,2012-07-13 06:00:00,13,975.7429232335162
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1087.9068779522843
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1214.4520849138264
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1309.0665025332355
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1414.1090978615352
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1475.4433106031656
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1492.3299571332432
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1461.6389205146008
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1405.6860325146101
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1381.4059196217866
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1348.896335062181
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1329.5406908155649
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1319.6602976314039
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1321.237513044629
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1323.2735533912041
2012-07-13 00:00:00,2012-07-13 13:30:00,28,1342.2116538234966
2012-07-13 00:00:00,2012-07-13 14:00:00,29,1331.995510325447
2012-07-13 00:00:00,2012-07-13 14:30:00,30,1346.270239727548
2012-07-13 00:00:00,2012-07-13 15:00:00,31,1346.8286177216287
2012-07-13 00:00:00,2012-07-13 15:30:00,32,1338.2555148754511
2012-07-13 00:00:00,2012-07-13 16:00:00,33,1336.2484566471185
2012-07-13 00:00:00,2012-07-13 16:30:00,34,1349.4595233992995
2012-07-13 00:00:00,2012-07-13 17:00:00,35,1400.7441324132706
2012-07-13 00:00:00,2012-07-13 17:30:00,36,1524.5944619027753
2012-07-13 00:00:00,2012-07-13 18:00:00,37,1662.803195027712
2012-07-13 00:00:00,2012-07-13 18:30:00,38,1700.8508279076398
2012-07-13 00:00:00,2012-07-13 19:00:00,39,1691.5432416351134
2012-07-13 00:00:00,2012-07-13 19:30:00,40,1653.5754262888515
2012-07-13 00:00:00,2012-07-13 20:00:00,41,1617.0400189467273
2012-07-13 00:00:00,2012-07-13 20:30:00,42,1578.6738616986026
2012-07-13 00:00:00,2012-07-13 21:00:00,43,1540.7155116589893
2012-07-13 00:00:00,2012-07-13 21:30:00,44,1486.714400979552
2012-07-13 00:00:00,2012-07-13 22:00:00,45,1412.8758168614527
2012-07-13 00:00:00,2012-07-13 22:30:00,46,1348.141593567532
2012-07-13 00:00:00,2012-07-13 23:00:00,47,1269.3523744343377
2012-07-13 00:00:00,2012-07-13 23:30:00,48,1455.6690698839989
2012-07-14 00:00:00,2012-07-14 00:00:00,1,1477.0750116308393
2012-07-14 00:00:00,2012-07-14 00:30:00,2,1401.433922579045
2012-07-14 00:00:00,2012-07-14 01:00:00,3,1278.1477345387066
2012-07-14 00:00:00,2012-07-14 01:30:00,4,1167.7523826434933
2012-07-14 00:00:00,2012-07-14 02:00:00,5,1081.9974374482024
2012-07-14 00:00:00,2012-07-14 02:30:00,6,1024.4270049105405
2012-07-14 00:00:00,2012-07-14 03:00:00,7,986.6333583731418
2012-07-14 00:00:00,2012-07-14 03:30:00,8,961.0404045458157
2012-07-14 00:00:00,2012-07-14 04:00:00,9,942.9987954880212
2012-07-14 00:00:00,2012-07-14 04:30:00,10,942.5001085915666
2012-07-14 00:00:00,2012-07-14 05:00:00,11,951.1737485635315
