Origin,Timestamp,Horizon,Simple_Exponential_Smoothing
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 02:30:00,6,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 03:00:00,7,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 03:30:00,8,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 04:00:00,9,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 04:30:00,10,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 05:00:00,11,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 05:30:00,12,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 06:00:00,13,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1487.8666192298888
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1487.8666192298888
