Origin,Timestamp,Horizon,DHR_ARIMA
2012-07-13 00:00:00,2012-07-13 00:00:00,1,1559.6032294305714
2012-07-13 00:00:00,2012-07-13 00:30:00,2,1565.7759525802676
2012-07-13 00:00:00,2012-07-13 01:00:00,3,1536.1393497722363
2012-07-13 00:00:00,2012-07-13 01:30:00,4,1489.1934947171794
2012-07-13 00:00:00,2012-07-13 02:00:00,5,1436.6378441709558
2012-07-13 00:00:00,2012-07-13 02:30:00,6,1385.9691948496857
2012-07-13 00:00:00,2012-07-13 03:00:00,7,1341.9871381312441
2012-07-13 00:00:00,2012-07-13 03:30:00,8,1307.6630259053304
2012-07-13 00:00:00,2012-07-13 04:00:00,9,1284.6450091161141
2012-07-13 00:00:00,2012-07-13 04:30:00,10,1273.561782215331
2012-07-13 00:00:00,2012-07-13 05:00:00,11,1274.2213709667483
2012-07-13 00:00:00,2012-07-13 05:30:00,12,1285.76094657408
2012-07-13 00:00:00,2012-07-13 06:00:00,13,1306.7787910276934
2012-07-13 00:00:00,2012-07-13 06:30:00,14,1335.4640313571408
2012-07-13 00:00:00,2012-07-13 07:00:00,15,1369.7300030787235
2012-07-13 00:00:00,2012-07-13 07:30:00,16,1407.350992750851
2012-07-13 00:00:00,2012-07-13 08:00:00,17,1446.0984180236815
2012-07-13 00:00:00,2012-07-13 08:30:00,18,1483.8705051099098
2012-07-13 00:00:00,2012-07-13 09:00:00,19,1518.8087732749727
2012-07-13 00:00:00,2012-07-13 09:30:00,20,1549.3948396270446
2012-07-13 00:00:00,2012-07-13 10:00:00,21,1574.5219958520113
2012-07-13 00:00:00,2012-07-13 10:30:00,22,1593.5374953857447
2012-07-13 00:00:00,2012-07-13 11:00:00,23,1606.2533509405837
2012-07-13 00:00:00,2012-07-13 11:30:00,24,1612.9255082141794
2012-07-13 00:00:00,2012-07-13 12:00:00,25,1614.2033655197665
2012-07-13 00:00:00,2012-07-13 12:30:00,26,1611.0535925116046
2012-07-13 00:00:00,2012-07-13 13:00:00,27,1604.6639200949674
2012-07-13 00:00:00,2012-07-13 13:30:00,28,1596.3339057537885
2012-07-13 00:00:00,2012-07-13 14:00:00,29,1587.3605303818435
2012-07-13 00:00:00,2012-07-13 14:30:00,30,1578.926794836245
2012-07-13 00:00:00,2012-07-13 15:00:00,31,1572.0012350968416
2012-07-13 00:00:00,2012-07-13 15:30:00,32,1567.2554811950622
2012-07-13 00:00:00,2012-07-13 16:00:00,33,1565.0057014938843
2012-07-13 00:00:00,2012-07-13 16:30:00,34,1565.182088644036
2012-07-13 00:00:00,2012-07-13 17:00:00,35,1567.3285722542737
2012-07-13 00:00:00,2012-07-13 17:30:00,36,1570.6328213468692
2012-07-13 00:00:00,2012-07-13 18:00:00,37,1573.984472582139
2012-07-13 00:00:00,2012-07-13 18:30:00,38,1576.057534061975
2012-07-13 00:00:00,2012-07-13 19:00:00,39,1575.4112056555978
2012-07-13 00:00:00,2012-07-13 19:30:00,40,1570.6020427217636
2012-07-13 00:00:00,2012-07-13 20:00:00,41,1560.2995613486778
2012-07-13 00:00:00,2012-07-13 20:30:00,42,1543.3970972593145
2012-07-13 00:00:00,2012-07-13 21:00:00,43,1519.110007637635
2012-07-13 00:00:00,2012-07-13 21:30:00,44,1487.0541272410908
2012-07-13 00:00:00,2012-07-13 22:00:00,45,1447.298701928107
2012-07-13 00:00:00,2012-07-13 22:30:00,46,1400.3897352849017
2012-07-13 00:00:00,2012-07-13 23:00:00,47,1347.3416811722116
