Timestamp,Actual,Naive,Daily_Seasonal_Naive,Weekly_Seasonal_Naive,Moving_Average
2012-07-13 00:00:00,1424.468208,1487.866622,1484.985314,1553.286942,1359.3853573333333
2012-07-13 00:30:00,1349.501854,1424.468208,1406.409004,1457.354546,1358.1245842916667
2012-07-13 01:00:00,1226.881752,1349.501854,1294.259026,1341.224038,1356.9390186666667
2012-07-13 01:30:00,1117.143948,1226.881752,1184.981322,1231.49698,1355.5353254583333
2012-07-13 02:00:00,1032.038122,1117.143948,1100.337214,1141.842368,1354.1220468333333
2012-07-13 02:30:00,975.108488,1032.038122,1030.925746,1080.315066,1352.6991490833332
2012-07-13 03:00:00,937.947426,975.108488,978.028356,1032.82322,1351.5362895416667
2012-07-13 03:30:00,912.978948,937.947426,943.065822,1005.724796,1350.7012701666667
2012-07-13 04:00:00,895.55381,912.978948,927.987126,987.098806,1350.0744602916666
2012-07-13 04:30:00,895.663692,895.55381,926.80146,985.231026,1349.3987662083334
2012-07-13 05:00:00,904.9381,895.663692,938.359384,999.14294,1348.7500627083332
2012-07-13 05:30:00,940.56355,904.9381,973.917142,1042.356308,1348.0537859583335
2012-07-13 06:00:00,996.038326,940.56355,1026.29889,1102.905968,1347.3589194583335
2012-07-13 06:30:00,1096.730598,996.038326,1137.8152,1228.54122,1346.7284910416665
2012-07-13 07:00:00,1198.58364,1096.730598,1263.721064,1371.643988,1345.8725618333333
2012-07-13 07:30:00,1279.870852,1198.58364,1357.704334,1487.30488,1344.5155321666668
2012-07-13 08:00:00,1387.566978,1279.870852,1462.123872,1616.98712,1342.8940012916667
2012-07-13 08:30:00,1457.831608,1387.566978,1522.843014,1692.907036,1341.3407326666668
2012-07-13 09:00:00,1494.437068,1457.831608,1539.122474,1707.775304,1339.9863283749999
2012-07-13 09:30:00,1497.161886,1494.437068,1507.832034,1679.323554,1339.0553824166666
2012-07-13 10:00:00,1464.999526,1497.161886,1451.287426,1608.721268,1338.8330876666666
2012-07-13 10:30:00,1437.913606,1464.999526,1426.423178,1533.900178,1339.1187564166667
2012-07-13 11:00:00,1400.02624,1437.913606,1393.336946,1471.119166,1339.3581403333335
2012-07-13 11:30:00,1383.237968,1400.02624,1373.412046,1425.959212,1339.497500625
2012-07-13 12:00:00,1371.762032,1383.237968,1362.969694,1387.127324,1339.7022073333335
2012-07-13 12:30:00,1353.781572,1371.762032,1363.992154,1369.996564,1339.8853810416667
2012-07-13 13:00:00,1343.998478,1353.781572,1365.48055,1355.839338,1339.6726605833335
2012-07-13 13:30:00,1373.604868,1343.998478,1383.878026,1354.46797,1339.2251174166668
2012-07-13 14:00:00,1373.052258,1373.604868,1373.128188,1340.404864,1339.0110932916666
2012-07-13 14:30:00,1355.801188,1373.052258,1386.876064,1327.905952,1339.0095114166668
2012-07-13 15:00:00,1362.676428,1355.801188,1386.914342,1326.678862,1338.3621181666665
2012-07-13 15:30:00,1379.226826,1362.676428,1377.827806,1337.355244,1337.857161625
2012-07-13 16:00:00,1381.509434,1379.226826,1375.313896,1363.783916,1337.886307875
2012-07-13 16:30:00,1438.245286,1381.509434,1388.024608,1427.314336,1338.0153815833335
2012-07-13 17:00:00,1524.319472,1438.245286,1438.815276,1524.147712,1339.0616457083333
2012-07-13 17:30:00,1624.693012,1524.319472,1562.177996,1670.05261,1340.842983125
2012-07-13 18:00:00,1733.157246,1624.693012,1699.90537,1848.35679,1342.1453792916666
